id,season,date,home_team_id,away_team_id,home_score,away_score,home_win,season_type,home_avg_pts,away_avg_pts_allowed,home_off_rating,home_def_rating,home_net_rating,home_pace,home_ts_pct,home_efg_pct,home_plus_minus,away_off_rating,away_def_rating,away_net_rating,away_pace,away_ts_pct,away_efg_pct,away_plus_minus,home_ortg_adj_avg_pts,away_drtg_adj_pts_allowed,home_net_rating_plusminus,away_net_rating_plusminus,ortg_matchup_diff,drtg_matchup_diff,net_rating_diff,home_rest_days,home_rest_adj,h2h_netrtg_last_5,h2h_netrtg_last_10,h2h_netrtg_last_20
4887,2023,2023-11-10,2,3,121,107,True,,131.66666666666666,127.0,118.3,111.0,7.3,100.85,0.607992630242678,0.573184052430366,608,120.5,117.6,2.9,102.16,0.606086039038895,0.578497170680353,250,,,13.379999999999999,5.4,0.7000000000000028,9.5,4.4,9.0,9.145617086570043,,,
4893,2023,2023-11-11,2,28,117,94,True,,128.0,121.33333333333333,106.8,113.7,-6.9,98.68,0.543216956232127,0.509129893484576,-574,108.6,119.2,-10.6,97.81,0.560379981226629,0.529300434599748,-840,,,-12.64,-19.0,-12.400000000000006,-5.1000000000000085,3.6999999999999993,1.0,0.9943144318875471,,,
4903,2023,2023-11-13,2,20,114,98,True,,125.2,116.0,109.3,115.6,-6.4,101.8,0.563492180258647,0.532006455083378,-532,117.8,112.3,5.5,97.43,0.588969547185103,0.561752988047809,431,,,-11.72,9.809999999999999,-3.0,2.200000000000003,-11.9,2.0,2.0515040366062482,,,
5027,2023,2023-12-08,2,20,133,123,True,,123.88888888888889,120.25,115.4,114.8,0.6,101.38,0.601215973126348,0.566322976173889,49,114.7,112.1,2.5,97.62,0.585874066255278,0.556737092486358,198,125.1906985794902,,1.0899999999999999,4.48,3.3000000000000114,-0.09999999999999432,-1.9,10.0,10.215200355164118,,,
5045,2023,2023-12-12,2,6,120,113,True,,123.5,109.0,114.6,108.4,6.3,97.79,0.59372132013269,0.559435044450817,529,110.2,118.9,-8.7,103.07,0.56719224332529,0.537902041905779,-762,123.93257443082314,,11.59,-16.32,-4.300000000000011,1.7999999999999972,15.0,4.0,3.941386635358055,,,
5055,2023,2023-12-14,2,6,116,107,True,,123.2,110.75,114.7,112.1,2.5,97.62,0.585874066255278,0.556737092486358,198,106.8,113.7,-6.9,98.68,0.543216956232127,0.509129893484576,-574,123.7394045534151,,4.48,-12.64,1.0,-5.299999999999997,9.4,2.0,1.9672674268516892,,,
5062,2023,2023-12-15,2,22,128,111,True,,120.5,114.33333333333333,114.7,112.1,2.5,97.62,0.585874066255278,0.556737092486358,198,120.5,117.6,2.9,102.16,0.606086039038895,0.578497170680353,250,121.02758318739058,,4.48,5.4,-2.8999999999999915,8.400000000000006,-0.3999999999999999,1.0,0.9836337134258446,,,
5074,2023,2023-12-17,2,22,114,97,True,,119.8,114.25,118.3,111.0,7.3,100.85,0.607992630242678,0.573184052430366,608,117.0,114.9,2.1,100.6,0.591976948182415,0.562227965179543,181,124.1010507880911,,13.379999999999999,3.91,3.3999999999999915,6.0,5.199999999999999,2.0,2.0323593525711208,,,
5132,2023,2023-12-28,2,9,128,122,True,,120.9,126.33333333333333,117.3,113.3,4.0,97.64,0.58886722142003,0.556185919343814,336,115.4,113.3,2.1,100.76,0.59378671062893,0.561629811629812,183,124.18187390542911,,7.359999999999999,3.93,4.0,2.1000000000000085,1.9,11.0,10.822187600572567,,,
5141,2023,2023-12-29,2,28,120,118,True,,121.5,121.0,115.7,110.8,5.0,97.95,0.588016804782436,0.554232804232804,410,113.7,115.0,-1.3,100.15,0.583255266986905,0.549485682513205,-98,123.09588441331002,,9.1,-2.2800000000000002,0.7000000000000028,2.9000000000000057,6.3,1.0,0.9869588427582613,,,
4327,2023,2024-01-30,2,12,129,124,True,,120.2,136.0,111.8,118.1,-6.3,99.91,0.566209585431089,0.53520935290919,-528,114.0,115.7,-1.7,96.94,0.568226708013194,0.533928328110097,-118,117.67390542907184,,-11.58,-2.88,-3.9000000000000057,-4.099999999999994,-4.6,3.0,3.020124287288756,,,
4381,2023,2024-02-09,2,30,133,129,True,,120.8,120.66666666666667,117.6,115.0,2.6,100.51,0.60070932466381,0.567580600716451,215,117.3,112.4,4.9,95.96,0.573819107698569,0.539947744774477,376,124.39649737302979,,4.75,8.66,5.199999999999989,2.299999999999997,-2.3000000000000003,2.0,2.025507570916444,,,
4409,2023,2024-02-14,2,3,136,86,True,,121.7,129.25,116.2,114.4,1.8,99.46,0.582279406389356,0.555600268276325,143,112.4,115.4,-2.9,97.56,0.561425536983364,0.530792390858081,-237,123.83134851138357,,3.23,-5.27,0.7999999999999972,-2.0,4.7,5.0,5.0108691424572065,,,
4562,2023,2024-03-18,2,9,119,94,True,,125.2,124.5,117.0,114.9,2.1,100.6,0.591976948182415,0.562227965179543,181,114.6,108.4,6.3,97.79,0.59372132013269,0.559435044450817,529,128.26970227670756,,3.91,11.59,8.599999999999994,-0.30000000000001137,-4.199999999999999,15.0,15.20490958368776,,,
4573,2023,2024-03-20,2,17,122,119,True,,127.8,118.0,109.0,118.0,-9.0,100.45,0.561776735833998,0.525981205085683,-747,109.3,115.6,-6.4,101.8,0.563492180258647,0.532006455083378,-532,121.98073555166377,,-16.47,-11.72,-6.599999999999994,-8.700000000000003,-2.5999999999999996,2.0,2.024298432977383,,,
